Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 16:10:23
Metodo: POST 		 Url: /ferramenta/catalogo 		 Data: 6/11/2022, Ora: 16:11:11
Metodo: GET 		 Url: /ferramenta/catalogo/98H9B9U8 		 Data: 6/11/2022, Ora: 16:11:12
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 16:11:15
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 16:13:49
Metodo: GET 		 Url: /ferramenta/catalogo/tra566 		 Data: 6/11/2022, Ora: 16:14:20
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 16:14:22
Metodo: GET 		 Url: /ferramenta/catalogo/98H9B9U8 		 Data: 6/11/2022, Ora: 16:14:24
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 16:14:34
Metodo: GET 		 Url: /ferramenta/catalogo/fal569 		 Data: 6/11/2022, Ora: 16:14:35
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 16:14:41
Metodo: GET 		 Url: /ferramenta/catalogo/98H9B9U8 		 Data: 6/11/2022, Ora: 16:14:43
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 16:14:46
Metodo: GET 		 Url: /ferramenta/catalogo/UN9898H9 		 Data: 6/11/2022, Ora: 16:14:48
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 16:14:56
Metodo: GET 		 Url: /ferramenta/catalogo/gua568 		 Data: 6/11/2022, Ora: 16:15:02
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 16:16:48
Metodo: GET 		 Url: /ferramenta/catalogo/gua568 		 Data: 6/11/2022, Ora: 16:16:51
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 16:16:54
Metodo: GET 		 Url: /ferramenta/catalogo/98H9B9U8 		 Data: 6/11/2022, Ora: 16:16:57
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 16:16:58
Metodo: GET 		 Url: /ferramenta/catalogo/fal569 		 Data: 6/11/2022, Ora: 16:16:59
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 16:17:01
Metodo: GET 		 Url: /ferramenta/catalogo/mar565 		 Data: 6/11/2022, Ora: 16:17:02
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 16:17:04
Metodo: GET 		 Url: /ferramenta/catalogo/tra566 		 Data: 6/11/2022, Ora: 16:17:05
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 16:17:25
Metodo: GET 		 Url: /ferramenta/catalogo/gua568 		 Data: 6/11/2022, Ora: 16:18:43
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 16:18:44
Metodo: GET 		 Url: /ferramenta/catalogo/mot56b 		 Data: 6/11/2022, Ora: 16:18:45
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 16:18:47
Metodo: GET 		 Url: /ferramenta/catalogo/98H9B9U8 		 Data: 6/11/2022, Ora: 16:18:48
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 16:19:49
Metodo: GET 		 Url: /ferramenta/catalogo/tra566 		 Data: 6/11/2022, Ora: 16:19:51
Metodo: GET 		 Url: /ferramenta/catalogo/tra566 		 Data: 6/11/2022, Ora: 16:20:51
Metodo: GET 		 Url: /ferramenta/catalogo/tra566 		 Data: 6/11/2022, Ora: 16:21:03
Metodo: GET 		 Url: /ferramenta/catalogo/tra566 		 Data: 6/11/2022, Ora: 16:23:25
Metodo: GET 		 Url: /ferramenta/catalogo/tra566 		 Data: 6/11/2022, Ora: 16:23:26
Metodo: GET 		 Url: /ferramenta/catalogo/tra566 		 Data: 6/11/2022, Ora: 16:24:54
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 16:24:55
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 16:28:36
Metodo: GET 		 Url: /ferramenta/catalogo/tra566 		 Data: 6/11/2022, Ora: 16:28:53
Metodo: PUT 		 Url: /ferramenta/catalogo/tra566 		 Data: 6/11/2022, Ora: 16:29:01
Metodo: GET 		 Url: /ferramenta/catalogo/tra566 		 Data: 6/11/2022, Ora: 16:29:02
Metodo: GET 		 Url: /ferramenta/catalogo/tra566 		 Data: 6/11/2022, Ora: 16:29:39
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 16:30:52
Metodo: GET 		 Url: /ferramenta/catalogo/mar565 		 Data: 6/11/2022, Ora: 16:30:56
Metodo: PUT 		 Url: /ferramenta/catalogo/mar565 		 Data: 6/11/2022, Ora: 16:31:02
Metodo: GET 		 Url: /ferramenta/catalogo/mar565 		 Data: 6/11/2022, Ora: 16:31:03
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 16:31:24
Metodo: GET 		 Url: /ferramenta/catalogo/mar565 		 Data: 6/11/2022, Ora: 16:31:34
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 16:31:36
Metodo: GET 		 Url: /ferramenta/catalogo/tra566 		 Data: 6/11/2022, Ora: 16:31:37
Metodo: GET 		 Url: /ferramenta/catalogo/tra566 		 Data: 6/11/2022, Ora: 16:31:44
Metodo: GET 		 Url: /ferramenta/catalogo/tra566 		 Data: 6/11/2022, Ora: 16:37:38
Metodo: GET 		 Url: /ferramenta/catalogo/tra566 		 Data: 6/11/2022, Ora: 16:43:50
Metodo: GET 		 Url: /ferramenta/catalogo/tra566 		 Data: 6/11/2022, Ora: 16:43:53
Metodo: GET 		 Url: /ferramenta/catalogo/tra566 		 Data: 6/11/2022, Ora: 16:44:14
Metodo: GET 		 Url: /ferramenta/catalogo/tra566 		 Data: 6/11/2022, Ora: 16:44:18
Metodo: GET 		 Url: /ferramenta/catalogo/tra566 		 Data: 6/11/2022, Ora: 16:44:50
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 16:44:59
Metodo: POST 		 Url: /ferramenta/catalogo 		 Data: 6/11/2022, Ora: 17:39:28
Metodo: GET 		 Url: /ferramenta/catalogo/87H98H 		 Data: 6/11/2022, Ora: 17:39:30
Metodo: GET 		 Url: /ferramenta/catalogo/87H98H 		 Data: 6/11/2022, Ora: 17:39:33
Metodo: GET 		 Url: /ferramenta/catalogo/87H98H 		 Data: 6/11/2022, Ora: 17:39:51
Metodo: GET 		 Url: /ferramenta/catalogo/87H98H 		 Data: 6/11/2022, Ora: 17:39:55
Metodo: GET 		 Url: /ferramenta/catalogo/87H98H 		 Data: 6/11/2022, Ora: 17:40:03
Metodo: PUT 		 Url: /ferramenta/catalogo/87H98H 		 Data: 6/11/2022, Ora: 17:40:07
Metodo: GET 		 Url: /ferramenta/catalogo/87H98H 		 Data: 6/11/2022, Ora: 17:40:08
Metodo: GET 		 Url: /ferramenta/catalogo/87H98H 		 Data: 6/11/2022, Ora: 17:40:10
Metodo: PUT 		 Url: /ferramenta/catalogo/87H98H 		 Data: 6/11/2022, Ora: 17:40:22
Metodo: GET 		 Url: /ferramenta/catalogo/87H98H 		 Data: 6/11/2022, Ora: 17:40:23
Metodo: GET 		 Url: /ferramenta/catalogo/87H98H 		 Data: 6/11/2022, Ora: 17:40:24
Metodo: GET 		 Url: /ferramenta/catalogo/87H98H 		 Data: 6/11/2022, Ora: 17:41:22
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 17:43:37
Metodo: POST 		 Url: /ferramenta/catalogo 		 Data: 6/11/2022, Ora: 17:46:05
Metodo: GET 		 Url: /ferramenta/catalogo/B878998H9 		 Data: 6/11/2022, Ora: 17:46:06
Metodo: GET 		 Url: /ferramenta/catalogo/B878998H9 		 Data: 6/11/2022, Ora: 17:46:12
Metodo: PUT 		 Url: /ferramenta/catalogo/B878998H9 		 Data: 6/11/2022, Ora: 17:46:15
Metodo: GET 		 Url: /ferramenta/catalogo/B878998H9 		 Data: 6/11/2022, Ora: 17:46:16
Metodo: GET 		 Url: /ferramenta/catalogo/B878998H9 		 Data: 6/11/2022, Ora: 17:46:18
Metodo: GET 		 Url: /ferramenta/catalogo/B878998H9 		 Data: 6/11/2022, Ora: 17:47:11
Metodo: GET 		 Url: /ferramenta/catalogo/B878998H9 		 Data: 6/11/2022, Ora: 17:47:22
Metodo: GET 		 Url: /ferramenta/catalogo/B878998H9 		 Data: 6/11/2022, Ora: 17:47:27
Metodo: GET 		 Url: /ferramenta/catalogo/B878998H9 		 Data: 6/11/2022, Ora: 17:47:29
Metodo: GET 		 Url: /ferramenta/catalogo/B878998H9 		 Data: 6/11/2022, Ora: 17:54:23
Metodo: GET 		 Url: /ferramenta/catalogo/B878998H9 		 Data: 6/11/2022, Ora: 17:54:41
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 17:55:22
Metodo: GET 		 Url: /ferramenta/catalogo/mar565 		 Data: 6/11/2022, Ora: 17:55:35
Metodo: GET 		 Url: /ferramenta/catalogo/mar565 		 Data: 6/11/2022, Ora: 17:56:28
Metodo: PUT 		 Url: /ferramenta/catalogo/mar565 		 Data: 6/11/2022, Ora: 17:56:33
Metodo: GET 		 Url: /ferramenta/catalogo/mar565 		 Data: 6/11/2022, Ora: 17:56:34
Metodo: GET 		 Url: /ferramenta/catalogo/mar565 		 Data: 6/11/2022, Ora: 17:56:35
Metodo: GET 		 Url: /ferramenta/catalogo/mar565 		 Data: 6/11/2022, Ora: 17:57:13
Metodo: GET 		 Url: /ferramenta/catalogo/mar565 		 Data: 6/11/2022, Ora: 17:57:26
Metodo: GET 		 Url: /ferramenta/catalogo/mar565 		 Data: 6/11/2022, Ora: 17:57:30
Metodo: GET 		 Url: /ferramenta/catalogo/mar565 		 Data: 6/11/2022, Ora: 17:57:36
Metodo: GET 		 Url: /ferramenta/catalogo/mar565 		 Data: 6/11/2022, Ora: 17:57:38
Metodo: GET 		 Url: /ferramenta/catalogo/mar565 		 Data: 6/11/2022, Ora: 17:57:41
Metodo: GET 		 Url: /ferramenta/catalogo/mar565 		 Data: 6/11/2022, Ora: 17:58:06
Metodo: PUT 		 Url: /ferramenta/catalogo/mar565 		 Data: 6/11/2022, Ora: 17:58:08
Metodo: GET 		 Url: /ferramenta/catalogo/mar565 		 Data: 6/11/2022, Ora: 17:58:09
Metodo: GET 		 Url: /ferramenta/catalogo/mar565 		 Data: 6/11/2022, Ora: 17:58:53
Metodo: GET 		 Url: /ferramenta/catalogo/mar565 		 Data: 6/11/2022, Ora: 17:59:03
Metodo: GET 		 Url: /ferramenta/catalogo/mar565 		 Data: 6/11/2022, Ora: 17:59:05
Metodo: GET 		 Url: /ferramenta/catalogo/mar565 		 Data: 6/11/2022, Ora: 17:59:17
Metodo: GET 		 Url: /ferramenta/catalogo/mar565 		 Data: 6/11/2022, Ora: 17:59:30
Metodo: GET 		 Url: /ferramenta/catalogo/mar565 		 Data: 6/11/2022, Ora: 17:59:44
Metodo: GET 		 Url: /ferramenta/catalogo/mar565 		 Data: 6/11/2022, Ora: 17:59:47
Metodo: GET 		 Url: /ferramenta/catalogo/mar565 		 Data: 6/11/2022, Ora: 18:00:00
Metodo: GET 		 Url: /ferramenta/catalogo/mar565 		 Data: 6/11/2022, Ora: 18:00:01
Metodo: GET 		 Url: /ferramenta/catalogo/mar565 		 Data: 6/11/2022, Ora: 18:00:13
Metodo: PUT 		 Url: /ferramenta/catalogo/mar565 		 Data: 6/11/2022, Ora: 18:00:16
Metodo: GET 		 Url: /ferramenta/catalogo/mar565 		 Data: 6/11/2022, Ora: 18:00:18
Metodo: GET 		 Url: /ferramenta/catalogo/mar565 		 Data: 6/11/2022, Ora: 18:00:44
Metodo: PUT 		 Url: /ferramenta/catalogo/mar565 		 Data: 6/11/2022, Ora: 18:01:45
Metodo: GET 		 Url: /ferramenta/catalogo/mar565 		 Data: 6/11/2022, Ora: 18:01:47
Metodo: GET 		 Url: /ferramenta/catalogo/mar565 		 Data: 6/11/2022, Ora: 18:02:14
Metodo: PUT 		 Url: /ferramenta/catalogo/mar565 		 Data: 6/11/2022, Ora: 18:02:17
Metodo: GET 		 Url: /ferramenta/catalogo/mar565 		 Data: 6/11/2022, Ora: 18:02:18
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 18:02:43
Metodo: GET 		 Url: /ferramenta/catalogo/98H9B9U8 		 Data: 6/11/2022, Ora: 18:03:19
Metodo: PUT 		 Url: /ferramenta/catalogo/98H9B9U8 		 Data: 6/11/2022, Ora: 18:03:27
Metodo: GET 		 Url: /ferramenta/catalogo/98H9B9U8 		 Data: 6/11/2022, Ora: 18:03:28
Metodo: GET 		 Url: /ferramenta/catalogo/98H9B9U8 		 Data: 6/11/2022, Ora: 18:03:37
Metodo: DELETE 		 Url: /ferramenta/catalogo/98H9B9U8 		 Data: 6/11/2022, Ora: 18:03:50
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 18:03:52
Metodo: GET 		 Url: /ferramenta/catalogo/989H9988 		 Data: 6/11/2022, Ora: 18:03:54
Metodo: DELETE 		 Url: /ferramenta/catalogo/989H9988 		 Data: 6/11/2022, Ora: 18:03:57
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 18:03:59
Metodo: GET 		 Url: /ferramenta/catalogo/UN9898H9 		 Data: 6/11/2022, Ora: 18:04:01
Metodo: DELETE 		 Url: /ferramenta/catalogo/UN9898H9 		 Data: 6/11/2022, Ora: 18:04:03
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 18:04:04
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 18:10:00
Metodo: GET 		 Url: /ferramenta/catalogo/mar565 		 Data: 6/11/2022, Ora: 18:10:02
Metodo: GET 		 Url: /ferramenta/catalogo/mar565 		 Data: 6/11/2022, Ora: 18:10:04
Metodo: PUT 		 Url: /ferramenta/catalogo/mar565 		 Data: 6/11/2022, Ora: 18:10:05
Metodo: GET 		 Url: /ferramenta/catalogo/mar565 		 Data: 6/11/2022, Ora: 18:10:06
	 => Errore 404: Prodotto richiesto non esistente
Metodo: GET 		 Url: /ferramenta/catalogo/mar565 		 Data: 6/11/2022, Ora: 18:10:40
	 => Errore 404: Prodotto richiesto non esistente
Metodo: GET 		 Url: /ferramenta/catalogo/mar565 		 Data: 6/11/2022, Ora: 18:11:25
	 => Errore 404: Prodotto richiesto non esistente
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 18:11:33
Metodo: POST 		 Url: /ferramenta/catalogo 		 Data: 6/11/2022, Ora: 18:11:51
Metodo: GET 		 Url: /ferramenta/catalogo/9H9898 		 Data: 6/11/2022, Ora: 18:11:52
Metodo: GET 		 Url: /ferramenta/catalogo-min 		 Data: 6/11/2022, Ora: 18:12:02
Metodo: GET 		 Url: /ferramenta/catalogo/tra566 		 Data: 6/11/2022, Ora: 18:12:27
